[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initDemos.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initDemos.js
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initFinishAnimation.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initFinishAnimation.js
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initImport.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initImport.js
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initPreview.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initPreview.js
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initSelect.js to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\js\_initSelect.js
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\scss\athemes-starter-sites.scss to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\assets\scss\athemes-starter-sites.scss
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\athemes-starter-sites.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\athemes-starter-sites.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-core.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-core.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-customizer-importer.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-customizer-importer.php
[2022-05-30 16:30:35] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-customizer-option.php to queue as: http://localhost/EarthShastri.github.io/wp-content\plugins\athemes-starter-sites\core\class-customizer-option.php
